id	FT10_mean
9728	77.5
10009	80.75
9712	77
9721	77.5
9045	88.75
8430	90.5
5210	96
768	76.5
7169	82.5
7130	91.66666667
9881	82
9450	88
7416	81.5
9706	95.25
9105	77.25
9959	81.5
9828	82.25
9402	92.25
9404	95
9718	78.75
10004	81.75
9643	85
8297	85.75
9533	89
9925	92.5
9729	96.75
9579	77
9982	85.5
7522	93
9588	85
9668	82.5
6921	83.25
9630	84.75
9679	69.25
8424	68.25
6994	79
9906	88
9966	90.5
6034	102.75
7518	93.25
7355	80.75
9102	83.75
9869	86.25
9640	92.75
9323	97
9715	76.75
9736	78
9700	80
9525	91.75
10018	90
9724	73.5
9742	78
9897	81
7947	82.25
9961	84.25
9690	75.5
9622	92
5165	86.5
9970	86.5
9701	85.5
9755	88.75
9734	84.25
9987	91
9975	79.25
9714	80.75
9711	75
2171	79
1872	80.25
9637	81.25
6040	93.25
8283	84.25
9103	83.25
9689	67.75
9859	76.25
9619	77.33333333
9829	83.25
8240	94.5
9850	95.5
9710	80.5
9514	72.5
9687	88.5
6016	87.33333333
9562	93.25
9733	80
9751	90.5
2276	83
9844	89.25
9892	88.5
6136	96.5
9695	103.5
6957	81.25
9523	86.75
9635	93.25
2278	79.25
9957	83.75
9674	86.75
9708	89
5768	96.25
9584	88.5
9618	89.25
6074	101
9669	81
9615	85.75
9986	89.33333333
9642	95.5
9748	81
9950	99
1002	102.75
6036	94.25
6242	83.66666667
9665	85.5
9614	85.5
9678	69
6021	94.25
6020	94
5832	88.5
4807	79.75
9106	87.25
9740	89.75
9880	91.5
9518	92
997	101.25
9641	82.66666667
9638	88.25
6105	97.75
6137	92.5
9686	84.33333333
9929	85.25
8249	93.75
9343	94.5
1158	98.75
9540	75.25
9732	82
9831	86.25
9627	90.5
801	94.75
9070	80
5741	97.25
1367	101.75
9656	78.25
9676	87.75
9535	93.5
6126	103.25
7316	81.25
6023	93.75
9111	100.5
9684	84
1925	89.5
9583	96.75
6092	103
9528	105.3333333
7519	90.25
9543	94.33333333
9685	84.75
9918	81.25
9437	91.75
10023	96.25
6122	101.5
9599	84.75
9632	92
9832	97
9672	85.33333333
9621	92
9470	102.6666667
9069	82.75
9887	89.33333333
6138	97
1074	98.25
9598	87
9094	93.5
9399	97
9884	97
9539	78.5
6968	92.5
7427	101
6194	110.5
9977	94.75
6133	111.75
9531	91
6114	97
9561	101
9681	66.25
